news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,avg_tone_score,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-05-20,3,2,0.6666666666666666,0.7592760141743221,2.2778280425229664,0.6666666666666666,1.3862943611198906,1.0986122886681098,1.1871810208989815,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2015-05-21,2,0,0.0,0.2416615941708706,0.4833231883417412,0.0,1.0986122886681098,0.0,0.3942849681664764,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-22,1,1,1.0,0.6980681432474417,0.6980681432474417,1.0,0.6931471805599453,0.6931471805599453,0.5294912185606124,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-24,1,1,1.0,0.8074721960553485,0.8074721960553485,1.0,0.6931471805599453,0.6931471805599453,0.5919292923904776,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-27,3,0,0.0,0.41621657484085245,1.2486497245225574,0.0,1.3862943611198906,0.0,0.8103299136363652,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
2015-05-29,1,0,0.0,0.2082177104816853,0.2082177104816853,0.0,0.6931471805599453,0.0,0.18914630718292547,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-30,1,0,0.0,0.3227320901333227,0.3227320901333227,0.0,0.6931471805599453,0.0,0.2796993628376912,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-31,4,3,0.75,0.5947630557879545,2.379052223151818,0.75,1.6094379124341003,1.3862943611198906,1.217595262821902,0.75,0.25,1.0,0.0,0.0,0.0
2015-06-01,2,2,1.0,0.7207054533769763,1.4414109067539527,1.0,1.0986122886681098,1.0986122886681098,0.892576112661439,0.0,0.0,1.0,0.0,0.5,0.0
2015-06-02,4,3,0.75,0.5700660522446761,2.2802642089787044,0.75,1.6094379124341003,1.3862943611198906,1.1879239706698508,0.75,0.0,0.25,0.0,0.0,0.0
2015-06-03,1,0,0.0,0.27093918633130376,0.27093918633130376,0.0,0.6931471805599453,0.0,0.23975614395899159,1.0,1.0,0.0,1.0,1.0,0.0
2015-06-06,3,2,0.6666666666666666,0.6277374785987988,1.8832124357963964,0.6666666666666666,1.3862943611198906,1.0986122886681098,1.058905101615004,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
2015-06-07,1,0,0.0,0.3442699316273414,0.3442699316273414,0.0,0.6931471805599453,0.0,0.2958510639195355,1.0,0.0,1.0,0.0,1.0,0.0
2015-06-08,3,2,0.6666666666666666,0.5630684697359095,1.6892054092077284,0.6666666666666666,1.3862943611198906,1.0986122886681098,0.9892457630668158,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2015-06-09,1,0,0.0,0.4163791396600393,0.4163791396600393,0.0,0.6931471805599453,0.0,0.34810371342902674,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-10,5,2,0.4,0.45968575140202744,2.298428757010137,0.4,1.791759469228055,1.0986122886681098,1.193446220845182,0.4,0.2,0.6,0.2,0.2,0.0
2015-06-11,4,2,0.5,0.5289312760646494,2.1157251042585976,0.5,1.6094379124341003,1.0986122886681098,1.1364619034039238,0.5,0.25,0.75,0.0,0.0,0.0
2015-06-12,3,0,0.0,0.4292698814168889,1.2878096442506666,0.0,1.3862943611198906,0.0,0.8275948726135618,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-06-13,1,0,0.0,0.47124927025470803,0.47124927025470803,0.0,0.6931471805599453,0.0,0.3861118835886295,0.0,1.0,1.0,1.0,0.0,0.0
2015-06-16,1,1,1.0,0.5774954049755842,0.5774954049755842,1.0,0.6931471805599453,0.6931471805599453,0.4558384025767442,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-17,1,0,0.0,0.19126365908179332,0.19126365908179332,0.0,0.6931471805599453,0.0,0.1750146420962309,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-18,1,1,1.0,0.977383012727003,0.977383012727003,1.0,0.6931471805599453,0.6931471805599453,0.6817742597324562,1.0,1.0,1.0,1.0,1.0,0.0
2015-06-19,2,0,0.0,0.44957663280314664,0.8991532656062933,0.0,1.0986122886681098,0.0,0.6414081371601651,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-21,4,3,0.75,0.5787992051748375,2.31519682069935,0.75,1.6094379124341003,1.3862943611198906,1.1985169946353182,0.5,0.25,0.75,0.25,0.0,0.0
2015-06-22,4,1,0.25,0.4367393802643835,1.746957521057534,0.25,1.6094379124341003,0.6931471805599453,1.0104939432358484,0.75,0.75,0.25,0.0,0.0,0.0
2015-06-23,3,2,0.6666666666666666,0.6563619528485426,1.9690858585456277,0.6666666666666666,1.3862943611198906,1.0986122886681098,1.0882541137015314,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-06-24,1,1,1.0,0.6800133920159354,0.6800133920159354,1.0,0.6931471805599453,0.6931471805599453,0.5188017648214526,1.0,1.0,1.0,1.0,0.0,0.0
2015-06-28,1,1,1.0,0.7372675804075323,0.7372675804075323,1.0,0.6931471805599453,0.6931471805599453,0.552313522837327,1.0,0.0,1.0,0.0,0.0,0.0
2015-06-29,1,0,0.0,0.41656006776932425,0.41656006776932425,0.0,0.6931471805599453,0.0,0.3482314451565954,1.0,0.0,1.0,0.0,0.0,0.0
2015-06-30,2,2,1.0,0.8871483831900522,1.7742967663801044,1.0,1.0986122886681098,1.0986122886681098,1.020397297562069,1.0,0.5,1.0,0.5,0.0,0.0
2015-07-01,4,3,0.75,0.6575347560057221,2.6301390240228883,0.75,1.6094379124341003,1.3862943611198906,1.2892709461722804,0.75,0.75,0.75,0.0,0.0,0.0
2015-07-02,2,1,0.5,0.5740625014254843,1.1481250028509686,0.5,1.0986122886681098,0.6931471805599453,0.7645953699491507,0.5,0.5,1.0,0.0,0.0,0.0
2015-07-03,1,0,0.0,0.4401387350562875,0.4401387350562875,0.0,0.6931471805599453,0.0,0.364739452736233,1.0,1.0,1.0,0.0,0.0,0.0
2015-07-04,1,1,1.0,0.9262435445652932,0.9262435445652932,1.0,0.6931471805599453,0.6931471805599453,0.6555717563501644,1.0,1.0,1.0,1.0,1.0,0.0
2015-07-06,4,1,0.25,0.4095039055556159,1.6380156222224636,0.25,1.6094379124341003,0.6931471805599453,0.9700269762724566,0.75,0.25,0.25,0.0,0.0,0.0
2015-07-07,3,0,0.0,0.3339864629321811,1.0019593887965432,0.0,1.3862943611198906,0.0,0.6941263953708671,0.0,0.0,1.0,0.0,0.0,0.0
2015-07-09,2,0,0.0,0.3057251779323914,0.6114503558647828,0.0,1.0986122886681098,0.0,0.47713461563363746,0.0,1.0,1.0,0.0,0.0,0.0
2015-07-10,5,0,0.0,0.4102940658690519,2.0514703293452596,0.0,1.791759469228055,0.0,1.1156235496535711,1.0,0.8,0.2,0.8,0.0,0.0
2015-07-11,3,0,0.0,0.3387769071826265,1.0163307215478794,0.0,1.3862943611198906,0.0,0.7012793851415019,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-07-12,1,1,1.0,0.687569198129856,0.687569198129856,1.0,0.6931471805599453,0.6931471805599453,0.5232891492229864,0.0,1.0,1.0,0.0,0.0,0.0
2015-07-13,1,0,0.0,0.2910151653864418,0.2910151653864418,0.0,0.6931471805599453,0.0,0.25542885880282346,0.0,0.0,1.0,0.0,0.0,0.0
2015-07-14,3,1,0.3333333333333333,0.4142765964470156,1.2428297893410467,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.8077383673893772,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
2015-07-15,3,2,0.6666666666666666,0.5033791205690252,1.5101373617070757,0.6666666666666666,1.3862943611198906,1.0986122886681098,0.9203374774260031,1.0,1.0,0.0,0.0,0.0,0.0
