news_date,first_timestamp_utc,last_timestamp_utc,n_articles_climate,n_urls_climate,n_sources_climate,n_articles_total,n_urls_total,n_sources_total,avg_tone,avg_positivity,avg_negativity,n_core_climate,n_policy_regulation,n_physical_risk,n_energy_geopolitics,n_cleantech,n_activism_litigation,share_total_climate,share_core_climate,share_policy,share_physical,share_energy,share_cleantech,share_activism,log_n_articles_climate,log_n_articles_total,log_n_sources_total
28/03/2015,2015-03-28 00:15:00+00:00,2015-03-28 23:45:00+00:00,2892,2892,1728,374906,374728,13767,0.134778818,2.465819689,2.33104087,2867,2615,655,781,560,985,0.007713934,0.00764725,0.006975082,0.001747105,0.002083189,0.001493708,0.002627325,7.970049305,12.83443327,9.530102338
29/03/2015,2015-03-29 00:15:00+00:00,2015-03-29 23:45:00+00:00,2651,2651,1544,350807,350644,12872,-0.038990809,2.348763007,2.387753816,2645,2343,710,504,316,1073,0.007556862,0.007539758,0.006678886,0.002023905,0.001436687,0.00090078,0.003058662,7.883069351,12.76799434,9.462887374
30/03/2015,2015-03-30 00:15:00+00:00,2015-03-30 23:45:00+00:00,2653,2653,1679,567730,567444,17951,-0.668121686,2.504489426,3.172611111,2638,2551,919,916,714,1045,0.004672996,0.004646575,0.004493333,0.001618727,0.001613443,0.00125764,0.001840664,7.883823215,13.24940299,9.795456808
31/03/2015,2015-03-31 00:15:00+00:00,2015-03-31 23:45:00+00:00,3243,3242,1912,607572,607224,18406,-0.663322064,2.476322785,3.13964485,3232,3154,1015,1133,1039,907,0.005337639,0.005319534,0.005191154,0.001670584,0.0018648,0.001710085,0.001492827,8.084562415,13.31722761,9.820486306
01/04/2015,2015-04-01 00:15:00+00:00,2015-04-01 23:45:00+00:00,3100,3100,1773,601046,600783,18877,-0.413562757,2.780570127,3.194132884,3071,3012,1026,1065,661,964,0.005157675,0.005109426,0.005011264,0.001707024,0.001771911,0.001099749,0.001603871,8.039479919,13.30642841,9.845752502
02/04/2015,2015-04-02 00:15:00+00:00,2015-04-02 23:45:00+00:00,1991,1991,1266,568607,568335,18513,-0.737596718,2.601683729,3.339280447,1972,1905,807,737,498,711,0.00350154,0.003468125,0.003350293,0.001419258,0.00129615,0.000875825,0.001250424,7.596894438,13.25094655,9.826282482
03/04/2015,2015-04-03 00:15:00+00:00,2015-04-03 23:45:00+00:00,1489,1489,988,457628,457366,16294,-1.003732871,2.440937052,3.444669923,1481,1445,644,572,392,584,0.003253734,0.003236253,0.003157587,0.001407257,0.001249924,0.000856591,0.001276146,7.306531399,13.03381409,9.698613591
04/04/2015,2015-04-04 00:15:00+00:00,2015-04-04 23:45:00+00:00,951,951,668,314978,314807,13025,-1.297824535,2.325447209,3.623271744,946,909,399,354,249,368,0.003019258,0.003003384,0.002885916,0.001266755,0.001123888,0.000790531,0.001168336,6.858565035,12.66026125,9.474702639
05/04/2015,2015-04-05 00:15:00+00:00,2015-04-05 23:45:00+00:00,995,995,718,296694,296556,12106,-0.94272377,2.596316626,3.539040395,988,971,480,398,228,400,0.003353624,0.00333003,0.003272732,0.001617828,0.001341449,0.000768469,0.00134819,6.903747258,12.60045995,9.401539077
06/04/2015,2015-04-06 00:15:00+00:00,2015-04-06 23:45:00+00:00,2227,2227,1358,442943,442689,16149,-0.717683857,2.73701389,3.454697747,2211,2178,925,1040,665,1093,0.005027735,0.004991613,0.004917111,0.002088305,0.002347932,0.001501322,0.002467586,7.708859601,13.00119863,9.689675329
07/04/2015,2015-04-07 00:15:00+00:00,2015-04-07 23:45:00+00:00,3110,3110,1886,562543,562246,18192,-1.045443352,2.635835398,3.681278749,3087,3062,1361,1497,748,1218,0.005528466,0.005487581,0.005443139,0.002419371,0.00266113,0.001329676,0.002165168,8.042699497,13.24022463,9.808792184
08/04/2015,2015-04-08 00:15:00+00:00,2015-04-08 23:45:00+00:00,3299,3299,1791,587200,586934,18596,-1.099806324,2.52204913,3.621855454,3274,3251,1234,1726,898,1271,0.005618188,0.005575613,0.005536444,0.002101499,0.002939373,0.001529292,0.00216451,8.101677747,13.28312246,9.830755556
09/04/2015,2015-04-09 00:15:00+00:00,2015-04-09 23:45:00+00:00,2799,2799,1780,559961,559657,18407,-0.345758546,2.494086329,2.839844875,2784,2750,1205,1435,790,1183,0.004998562,0.004971775,0.004911056,0.002151936,0.002562678,0.001410813,0.002112647,7.937374696,13.2356242,9.820540632
10/04/2015,2015-04-10 00:15:00+00:00,2015-04-10 23:45:00+00:00,2214,2214,1454,514394,514165,17698,-0.89199399,2.488763767,3.380757757,2192,2163,914,989,542,832,0.004304094,0.004261325,0.004204948,0.001776848,0.001922651,0.001053667,0.001617437,7.703007682,13.15074673,9.78126342
11/04/2015,2015-04-11 00:15:00+00:00,2015-04-11 23:45:00+00:00,1502,1502,971,338669,338472,13497,-0.805374118,2.3409562,3.146330317,1497,1482,704,858,420,508,0.004435009,0.004420245,0.004375954,0.002078726,0.002533447,0.001240149,0.00149999,7.31521839,12.73278146,9.510296805
12/04/2015,2015-04-12 00:15:00+00:00,2015-04-12 23:45:00+00:00,1481,1481,1029,314911,314759,12714,-0.402675675,2.724885225,3.1275609,1465,1457,681,635,306,404,0.004702916,0.004652108,0.004626704,0.002162516,0.002016443,0.000971703,0.001282902,7.301147806,12.66004851,9.450537678
13/04/2015,2015-04-13 00:15:00+00:00,2015-04-13 23:45:00+00:00,2820,2820,1722,511493,511225,17736,-0.44455677,2.608559299,3.053116068,2797,2767,1140,994,640,1070,0.005513272,0.005468306,0.005409654,0.00222877,0.001943331,0.001251239,0.002091915,7.944846711,13.14509113,9.783408132
14/04/2015,2015-04-14 00:15:00+00:00,2015-04-14 23:45:00+00:00,3268,3268,1887,583444,583157,18333,-0.202658426,2.637530353,2.840188779,3262,3223,1072,1237,803,1149,0.005601223,0.005590939,0.005524095,0.001837366,0.002120169,0.00137631,0.001969341,8.092239407,13.27670547,9.816512539
15/04/2015,2015-04-15 00:15:00+00:00,2015-04-15 23:45:00+00:00,2608,2608,1626,581840,581580,18376,-0.888722355,2.612247766,3.500970121,2590,2541,995,1373,691,1064,0.004482332,0.004451396,0.00436718,0.001710092,0.002359755,0.001187612,0.001828681,7.866722285,13.27395249,9.818855162
16/04/2015,2015-04-16 00:15:00+00:00,2015-04-16 23:45:00+00:00,3122,3122,1868,570054,569754,18382,-0.331215644,2.657056568,2.988272212,3112,3051,899,1460,824,1075,0.005476674,0.005459132,0.005352125,0.001577044,0.002561161,0.001445477,0.001885786,8.046549357,13.25348813,9.819181603
17/04/2015,2015-04-17 00:15:00+00:00,2015-04-17 23:45:00+00:00,2921,2921,1696,541641,541377,17865,-0.683491422,2.381483152,3.064974574,2909,2859,817,1389,953,1094,0.005392871,0.005370716,0.005278404,0.001508379,0.002564429,0.001759468,0.002019788,7.980023592,13.20236055,9.790654744
18/04/2015,2015-04-18 00:15:00+00:00,2015-04-18 23:45:00+00:00,2180,2180,1397,339084,338907,13424,-0.941107958,2.285991964,3.227099922,2173,2143,863,611,555,598,0.006429085,0.006408442,0.006319968,0.002545092,0.001801913,0.001636763,0.001763575,7.687538766,12.73400609,9.504873919
19/04/2015,2015-04-19 00:15:00+00:00,2015-04-19 23:45:00+00:00,1379,1379,979,313155,313037,12599,-0.738513235,2.434679217,3.173192452,1364,1349,531,671,379,523,0.00440357,0.004355671,0.004307771,0.001695646,0.002142709,0.001210263,0.001670099,7.229838778,12.65445675,9.441452093
20/04/2015,2015-04-20 00:15:00+00:00,2015-04-20 23:45:00+00:00,2202,2201,1386,528285,527989,17849,-0.347812691,2.766889534,3.114702225,2194,2156,719,1040,724,848,0.004168205,0.004153061,0.00408113,0.001361008,0.001968634,0.001370472,0.001605194,7.697575347,13.17739308,9.789758787
21/04/2015,2015-04-21 00:15:00+00:00,2015-04-21 23:45:00+00:00,2785,2785,1682,557187,556905,18020,-0.430477337,2.77596909,3.206446427,2773,2730,951,1016,779,1102,0.004998322,0.004976785,0.004899612,0.001706788,0.001823445,0.001398094,0.001977792,7.932362154,13.23065798,9.799293024
22/04/2015,2015-04-22 00:15:00+00:00,2015-04-22 23:45:00+00:00,4589,4589,2537,602284,601982,18536,-0.657953631,2.748580464,3.406534095,4555,4528,1922,1887,1148,1747,0.007619329,0.007562877,0.007518048,0.003191186,0.003133073,0.001906078,0.002900625,8.431635303,13.30848603,9.827524014
23/04/2015,2015-04-23 00:15:00+00:00,2015-04-23 23:45:00+00:00,4311,4311,2238,607729,607441,18527,-0.568548543,2.683429681,3.251978224,4292,4258,1856,1951,1554,1990,0.007093622,0.007062358,0.007006412,0.003053993,0.003210312,0.002557061,0.003274486,8.369157113,13.31748598,9.82703838
24/04/2015,2015-04-24 00:15:00+00:00,2015-04-24 23:45:00+00:00,2958,2958,1737,572172,571901,18006,-0.657002736,2.580956411,3.237959147,2950,2902,1232,1257,1013,1077,0.005169774,0.005155792,0.005071901,0.002153199,0.002196892,0.001770447,0.001882301,7.992606652,13.25719667,9.79851585
25/04/2015,2015-04-25 00:15:00+00:00,2015-04-25 23:45:00+00:00,1365,1365,924,353798,353609,13634,-0.725256926,2.625135822,3.350392747,1355,1334,545,719,288,434,0.003858134,0.003829869,0.003770513,0.001540427,0.002032233,0.000814024,0.001226689,7.21964204,12.77648423,9.520395295
26/04/2015,2015-04-26 00:15:00+00:00,2015-04-26 23:45:00+00:00,1993,1993,1183,329399,329209,12805,-0.351892043,2.775288291,3.127180334,1986,1974,758,559,312,1078,0.006050413,0.006029162,0.005992732,0.002301161,0.00169703,0.00094718,0.003272627,7.597897951,12.7050281,9.45766909
27/04/2015,2015-04-27 00:15:00+00:00,2015-04-27 23:45:00+00:00,2745,2745,1656,553216,552960,17944,-0.582307751,2.687264407,3.269572158,2708,2697,1035,1205,708,876,0.004961896,0.004895014,0.00487513,0.001870879,0.002178173,0.001279789,0.001583468,7.917900586,13.22350561,9.795066804
28/04/2015,2015-04-28 00:15:00+00:00,2015-04-28 23:45:00+00:00,3027,3027,1826,604901,604547,18343,-0.526243221,2.670836575,3.197079796,3000,2959,1075,1041,681,1240,0.005004125,0.004959489,0.00489171,0.00177715,0.001720943,0.001125804,0.002049922,8.015657615,13.31282174,9.817057825
29/04/2015,2015-04-29 00:15:00+00:00,2015-04-29 23:45:00+00:00,3439,3439,1937,601813,601540,18648,-0.468021056,2.692691638,3.160712694,3416,3350,1432,1486,1148,1540,0.0057144,0.005676182,0.005566513,0.002379477,0.002469206,0.001907569,0.002558934,8.14322675,13.30770371,9.833547804
30/04/2015,2015-04-30 00:15:00+00:00,2015-04-30 23:45:00+00:00,3557,3556,2091,590312,590035,18306,-1.070870353,2.337298787,3.40816914,3543,3485,1341,1654,931,1383,0.006025627,0.006001911,0.005903658,0.00227168,0.002801908,0.001577132,0.002342829,8.176953868,13.28840818,9.815038779
01/05/2015,2015-05-01 00:15:00+00:00,2015-05-01 23:45:00+00:00,2409,2409,1549,458287,458119,16538,-1.53392661,2.325953431,3.859880042,2400,2380,781,984,501,970,0.005256531,0.005236893,0.005193252,0.001704172,0.002147126,0.001093201,0.002116578,7.787382026,13.03525309,9.713476507
02/05/2015,2015-05-02 00:15:00+00:00,2015-05-02 23:45:00+00:00,1250,1250,918,324533,324391,13022,-0.746772752,2.593084538,3.33985729,1242,1192,433,399,243,405,0.003851688,0.003827038,0.00367297,0.001334225,0.001229459,0.000748768,0.001247947,7.13169851,12.69014559,9.474472304
03/05/2015,2015-05-03 00:15:00+00:00,2015-05-03 23:45:00+00:00,1193,1193,881,311519,311390,12464,-0.77734148,2.720265871,3.497607351,1189,1118,358,373,250,361,0.003829622,0.003816782,0.003588866,0.001149208,0.001197359,0.000802519,0.001158838,7.085064294,12.64921882,9.430679996
04/05/2015,2015-05-04 00:15:00+00:00,2015-05-04 23:30:00+00:00,2681,2681,1638,484731,484505,16688,-1.170934907,2.47526354,3.646198447,2665,2551,1122,1384,680,1024,0.005530903,0.005497895,0.005262713,0.002314686,0.002855192,0.00140284,0.002112512,7.894318064,13.09135144,9.722505099
05/05/2015,2015-05-05 00:15:00+00:00,2015-05-05 23:45:00+00:00,3073,3073,1798,546940,546683,17654,-0.667451896,2.663929684,3.331381581,3062,3039,1196,1452,775,1310,0.005618532,0.00559842,0.005556368,0.002186712,0.00265477,0.001416974,0.002395144,8.030734924,13.21209621,9.778774308
06/05/2015,2015-05-06 00:15:00+00:00,2015-05-06 23:45:00+00:00,2782,2782,1572,604954,604684,18163,0.066495809,3.148073528,3.081577719,2768,2737,996,1036,572,995,0.004598697,0.004575555,0.004524311,0.001646406,0.001712527,0.000945526,0.001644753,7.931284762,13.31290935,9.807196892
07/05/2015,2015-05-07 00:15:00+00:00,2015-05-07 23:45:00+00:00,2878,2878,1626,596394,596144,18258,-0.935823806,2.569400523,3.505224329,2858,2824,1070,1101,718,895,0.004825669,0.004792134,0.004735125,0.001794116,0.001846095,0.001203902,0.001500686,7.965198291,13.29865848,9.812413388
08/05/2015,2015-05-08 00:30:00+00:00,2015-05-08 23:45:00+00:00,2646,2646,1329,547741,547547,17591,-1.163850503,2.553286009,3.717136512,2627,2603,912,1096,974,848,0.00483075,0.004796062,0.004752246,0.001665021,0.002000946,0.001778213,0.001548177,7.881182202,13.21355965,9.775199532
09/05/2015,2015-05-09 00:15:00+00:00,2015-05-09 23:45:00+00:00,1054,1054,798,346986,346806,13454,-0.887296806,2.616454856,3.503751662,1047,941,527,399,248,382,0.003037587,0.003017413,0.002711925,0.001518793,0.001149902,0.000714726,0.001100909,6.961296046,12.75704259,9.507106063
10/05/2015,2015-05-10 00:15:00+00:00,2015-05-10 23:45:00+00:00,1211,1211,911,324580,324416,12543,-1.149188178,2.475182361,3.624370538,1209,1185,588,332,290,320,0.003730975,0.003724814,0.003650872,0.001811572,0.00102286,0.000893462,0.000985889,7.100027167,12.6902904,9.436997743
11/05/2015,2015-05-11 00:15:00+00:00,2015-05-11 23:45:00+00:00,2489,2489,1633,514417,514158,17494,-0.417930579,2.667576706,3.085507285,2479,2422,889,1026,591,986,0.004838487,0.004819048,0.004708243,0.00172817,0.001994491,0.001148873,0.001916733,7.820037989,13.15079144,9.769670405
12/05/2015,2015-05-12 00:15:00+00:00,2015-05-12 23:45:00+00:00,2823,2823,1702,597793,597486,17947,-0.709414226,2.599896287,3.309310512,2811,2750,1104,1210,682,963,0.00472237,0.004702297,0.004600255,0.001846793,0.002024112,0.001140863,0.001610926,7.945909599,13.30100149,9.795233967
13/05/2015,2015-05-13 00:15:00+00:00,2015-05-13 23:45:00+00:00,2617,2617,1617,585090,584840,18152,-0.847541597,2.589529508,3.437071105,2608,2552,1103,1139,618,1114,0.004472816,0.004457434,0.004361722,0.00188518,0.001946709,0.001056248,0.001903981,7.870165946,13.27952267,9.806591115
14/05/2015,2015-05-14 00:15:00+00:00,2015-05-14 23:45:00+00:00,1831,1831,1213,553430,553160,17687,-0.562623705,2.709705197,3.272328902,1826,1775,846,753,497,676,0.003308458,0.003299424,0.003207271,0.001528649,0.001360606,0.000898036,0.001221473,7.513163545,13.22389236,9.780641723
15/05/2015,2015-05-15 00:15:00+00:00,2015-05-15 23:45:00+00:00,2499,2497,1624,535901,535706,17435,-0.59612484,2.519491219,3.115616059,2491,2411,1024,1154,523,937,0.004663175,0.004648247,0.004498965,0.001910801,0.002153383,0.000975927,0.001748457,7.824046011,13.19170659,9.766292313
